노선번호,정류장명
10,갈곡리종점
10,갈곡다리앞
10,갈곡리
10,법원읍도서관.초리골
10,우시장
10,법원구터미널.우시장
10,천현초교
10,법원읍하나로마트
10,법원리우체국
10,법원사거리
10,은빛사랑채
10,삼마군인아파트
10,대능사거리
10,대능1리
10,법원체육공원
10,노블하임빌앞
10,호명교
10,애룡호수입구
10,연풍리
10,파주제일교회
10,부대앞
10,천국기도원
10,전진사
10,검전리
10,검전리교차로
10,창만1리
10,신산5리
10,나자렛묘원
10,미군부대앞
10,새술막
10,신산3리
10,신산아트빌라
10,광탄삼거리
10,사단후문
10,인쇄단지
10,오산리기도원
10,오산1리
10,오산2리
10,오산2리.연당말
10,오성주유소
10,덕암초등학교
10,뇌조삼거리
10,등원1리
10,낙머리
10,낙머리
10,PX마을
10,은행마을
10,영태6리.파주이슬람성원
10,영태3리
10,정목고.정목중
10,순복음평화교회
10,주유소앞
10,금촌농협
10,금촌역
10,금촌사거리
10,장안아파트
10,KT파주지사.보훈회관
10,대하마트
10,새꽃마을1단지
10,새꽃마을삼거리
10,금화초등학교
10,후곡마을4단지
10,금릉초등학교.쇠재마을5단지
10,중앙하이츠아파트
10,중앙도서관
10,우체국.건강보험공단
10,금촌지구교차로(미정차)
10,와동교차로(미정차)
10,와동육교
10,가람마을4단지
10,가람마을1단지
10,해솔마을11단지
10,해솔마을4단지
10,지산중학교.운정행복센터
10,해솔마을2.5단지
10,산내마을11단지
10,운정고등학교
10,한울마을1단지.LH파주본부
10,한울마을2단지
10,경기인력개발원
10,한빛마을3.6단지
10,한빛마을4.8단지
10,한소망교회
10,하이파크시티1단지.고양시립덕이도서관
10,덕이중학교
10,하이파크시티2.3단지
10,하이파크시티4.5단지
10,하누리타운빌리지
10,덕이동행정복지센터
10,농수산물센터
10,예비군훈련장.성저3.4단지
10,대화역
10,백병원(중)
10,장촌공원사거리.일산백병원입구
10,문촌마을14.19단지
10,일산디엠시티스카이뷰.현대백화점
10,킨텍스역.원시티1단지
10,원마운트
10,한수초등학교
10,문촌마을(중)
10,백병원(중)
10,대화역
10,예비군훈련장.성저3.4단지
10,농수산물센터
10,덕이동행정복지센터
10,하누리타운빌리지
10,하이파크시티4.5단지
10,하이파크시티2.3단지
10,덕이중학교
10,하이파크시티1단지.고양시립덕이도서관
10,송학동
10,한빛마을4.8단지
10,한빛마을3.6단지
10,경기인력개발원
10,한울마을2단지
10,한울마을1단지.LH파주본부
10,운정고등학교
10,산내마을11단지
10,해솔마을2.5단지
10,지산중학교.운정행복센터
10,가람마을9단지
10,해솔마을11단지
